nohup: 입력 무시
TCLab version 1.0.0
Arduino Leonardo connected on port /dev/ttyACM0 at 115200 baud.
TCLab Firmware 2.0.1 Arduino Leonardo/Micro.

===== Episode 1 시작 =====
Check that temperatures are < 29.0 degC before starting
Time: 0 T1: 81.581 T2: 44.102
Time: 20 T1: 70.85 T2: 40.557
Time: 40 T1: 67.949 T2: 40.879
Time: 60 T1: 63.438 T2: 40.557
Time: 80 T1: 59.248 T2: 40.234
Time: 100 T1: 55.381 T2: 39.88
Time: 120 T1: 51.868 T2: 39.042
Time: 140 T1: 48.936 T2: 38.301
Time: 160 T1: 46.357 T2: 37.656
Time: 180 T1: 44.102 T2: 36.689
Time: 200 T1: 40.557 T2: 35.078
Time: 220 T1: 39.268 T2: 34.434
Time: 240 T1: 37.946 T2: 33.854
Time: 260 T1: 36.947 T2: 33.467
Time: 280 T1: 35.948 T2: 33.145
Time: 300 T1: 35.046 T2: 32.5
Time: 320 T1: 34.111 T2: 32.178
Time: 340 T1: 33.467 T2: 31.533
Time: 360 T1: 32.822 T2: 31.211
Time: 380 T1: 32.178 T2: 30.889
Time: 400 T1: 31.855 T2: 30.631
Time: 420 T1: 31.211 T2: 30.244
Time: 440 T1: 30.889 T2: 29.954
Time: 460 T1: 30.566 T2: 29.6
Time: 480 T1: 30.244 T2: 29.567
Time: 500 T1: 29.922 T2: 29.277
Time: 520 T1: 29.922 T2: 29.277
Time: 540 T1: 29.6 T2: 28.955
Time: 560 T1: 29.277 T2: 28.633
Time: 580 T1: 29.277 T2: 28.601
[TSP1 설정 정보]
  구간:   0 ~  47, 목표 온도: 32.19°C
  구간:  48 ~ 100, 목표 온도: 64.04°C
  구간: 101 ~ 119, 목표 온도: 45.40°C
[TSP2 설정 정보]
  구간:   0 ~  74, 목표 온도: 48.02°C
  구간:  75 ~ 119, 목표 온도: 35.53°C
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
   5.0  32.19  28.95  50.00  48.02  28.31  50.00  22.94
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  10.0  32.19  29.05 100.00  48.02  28.63 100.00  45.46
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  15.0  32.19  29.12 100.00  48.02  28.44 100.00  68.11
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  20.0  32.19  29.37 100.00  48.02  29.31 100.00  89.63
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  25.0  32.19  29.89  80.37  48.02  29.05 100.00 110.90
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  30.0  32.19  30.53  30.37  48.02  29.99 100.00 130.59
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  35.0  32.19  31.34   0.00  48.02  30.44 100.00 149.01
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  40.0  32.19  32.31   0.00  48.02  30.70 100.00 166.45
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  45.0  32.19  33.34   0.00  48.02  31.92 100.00 183.70
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  50.0  32.19  33.95   0.00  48.02  32.95 100.00 200.53
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  55.0  32.19  34.43   0.00  48.02  33.56 100.00 217.23
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  59.9  32.19  34.92   0.00  48.02  34.34 100.00 233.64
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  65.0  32.19  35.14   0.00  48.02  35.56 100.00 249.05
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  69.9  32.19  35.47   0.00  48.02  36.21 100.00 264.14
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  74.9  32.19  35.40   0.00  48.02  37.04 100.00 278.33
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  79.9  32.19  35.50   0.00  48.02  38.11 100.00 291.55
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  84.9  32.19  35.63   0.00  48.02  38.66 100.00 304.35
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  89.9  32.19  35.53   0.00  48.02  39.75 100.00 315.95
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  94.9  32.19  35.79   0.00  48.02  40.62 100.00 326.95
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
  99.9  32.19  35.53   0.00  48.02  41.27 100.00 337.04
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 104.9  32.19  35.59   0.00  48.02  41.81 100.00 346.65
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 109.9  32.19  35.53   0.00  48.02  42.23 100.00 355.78
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 114.9  32.19  35.72   0.00  48.02  43.30 100.00 364.04
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 119.9  32.19  35.59   0.00  48.02  44.13 100.00 371.33
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 124.9  32.19  35.43   0.00  48.02  44.20 100.00 378.39
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 129.9  32.19  35.59   0.00  48.02  45.20 100.00 384.62
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 134.9  32.19  35.59   0.00  48.02  45.58 100.00 390.46
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 139.9  32.19  35.40   0.00  48.02  46.36 100.00 395.33
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 144.9  32.19  35.43   0.00  48.02  46.87 100.00 399.72
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 149.9  32.19  35.59   0.00  48.02  47.39  62.49 403.75
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 154.9  32.19  35.50   0.00  48.02  47.77  12.49 407.31
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 159.9  32.19  35.63   0.00  48.02  48.42   0.00 411.15
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 164.9  32.19  35.56   0.00  48.02  48.61   0.00 415.12
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 169.9  32.19  35.43   0.00  48.02  48.74   0.00 419.08
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 174.9  32.19  35.43   0.00  48.02  48.61   0.00 422.92
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 179.8  32.19  35.40   0.00  48.02  48.39   0.00 426.51
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 184.9  32.19  35.21   0.00  48.02  48.00   0.00 429.54
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 189.8  32.19  35.11   0.00  48.02  47.65  50.00 432.84
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 194.8  32.19  35.08   0.00  48.02  47.32 100.00 436.42
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 199.8  32.19  35.14   0.00  48.02  47.20 100.00 440.20
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 204.8  32.19  35.14   0.00  48.02  46.68 100.00 444.49
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 209.8  32.19  34.85   0.00  48.02  46.49 100.00 448.69
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 214.8  32.19  34.88   0.00  48.02  46.16 100.00 453.24
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 219.8  32.19  34.95   0.00  48.02  46.55 100.00 457.46
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 224.8  32.19  34.88   0.00  48.02  46.45 100.00 461.72
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 229.8  32.19  34.85   0.00  48.02  46.87 100.00 465.53
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 234.8  32.19  34.79   0.00  48.02  47.52 100.00 468.63
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 239.8  64.04  34.85  50.00  48.02  48.06  50.00 497.86
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 244.8  64.04  34.59 100.00  48.02  48.19   0.00 527.48
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 249.8  64.04  35.01 100.00  48.02  48.23   0.00 556.71
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 254.8  64.04  35.21 100.00  48.02  48.58   0.00 586.10
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 259.8  64.04  35.66 100.00  48.02  48.48   0.00 614.95
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 264.8  64.04  36.37 100.00  48.02  48.23   0.00 642.82
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 269.8  64.04  37.37 100.00  48.02  48.06  50.00 669.54
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 274.8  64.04  38.46 100.00  48.02  48.26   0.00 695.35
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 279.8  64.04  39.62 100.00  48.02  47.48  50.00 720.30
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 284.8  64.04  40.88 100.00  48.02  47.26 100.00 744.21
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 289.7  64.04  42.14 100.00  48.02  47.29 100.00 766.84
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 294.8  64.04  43.39 100.00  48.02  47.32 100.00 788.18
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 299.7  64.04  44.84 100.00  48.02  46.97 100.00 808.42
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 304.7  64.04  46.10 100.00  48.02  47.07 100.00 827.30
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 309.7  64.04  47.61 100.00  48.02  48.19  50.00 843.90
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 314.7  64.04  48.97 100.00  48.02  48.00   0.00 858.98
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 319.7  64.04  50.00 100.00  48.02  48.03  23.46 873.04
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 324.7  64.04  51.35 100.00  48.02  48.29   0.00 885.99
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 329.7  64.04  52.74 100.00  48.02  48.52   0.00 897.79
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 334.7  64.04  54.25 100.00  48.02  48.81   0.00 908.36
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 339.7  64.04  55.32 100.00  48.02  48.77   0.00 917.83
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 344.7  64.04  56.48 100.00  48.02  48.61   0.00 925.99
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 349.7  64.04  57.83 100.00  48.02  48.61   0.00 932.79
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 354.7  64.04  58.99 100.00  48.02  48.55   0.00 938.36
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 359.7  64.04  60.22 100.00  48.02  48.39   0.00 942.55
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
 364.7  64.04  61.34 100.00  48.02  48.23   0.00 945.46
  Time   Tsp1     T1     Q1   Tsp2     T2     Q2    IAE
