Time,Q1,Q2,T1,T2,TSP1,TSP2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.914799999999999969e+01,2.834299999999999997e+01,2.905199999999999960e+01,2.834299999999999997e+01
1.000138282775878906e+00,4.388304455995452713e+00,0.000000000000000000e+00,2.905199999999999960e+01,2.831099999999999994e+01,2.905199999999999960e+01,2.834299999999999997e+01
1.991092920303344727e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.905199999999999960e+01,2.831099999999999994e+01,2.905199999999999960e+01,2.834299999999999997e+01
2.991728544235229492e+00,5.369929038131411758e+00,0.000000000000000000e+00,2.895499999999999829e+01,2.831099999999999994e+01,2.905199999999999960e+01,2.834299999999999997e+01
3.982511520385742188e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.901999999999999957e+01,2.831099999999999994e+01,2.905199999999999960e+01,2.834299999999999997e+01
4.983090400695800781e+00,2.769215318059291775e+00,0.000000000000000000e+00,2.895499999999999829e+01,2.827799999999999869e+01,2.905199999999999960e+01,2.834299999999999997e+01
5.973865985870361328e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.895499999999999829e+01,2.831099999999999994e+01,2.905199999999999960e+01,2.834299999999999997e+01
6.974679470062255859e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.895499999999999829e+01,2.827799999999999869e+01,2.905199999999999960e+01,2.834299999999999997e+01
7.965153455734252930e+00,0.000000000000000000e+00,7.006082669859758028e+00,2.898699999999999832e+01,2.818199999999999861e+01,2.905199999999999960e+01,2.834299999999999997e+01
8.966058969497680664e+00,1.184167541069776952e+01,0.000000000000000000e+00,2.882600000000000051e+01,2.831099999999999994e+01,2.905199999999999960e+01,2.834299999999999997e+01
9.956567764282226562e+00,1.000000000000000000e+02,1.319439127064905648e+01,2.885800000000000054e+01,2.814900000000000091e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.310792088508605957e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.889099999999999824e+01,2.827799999999999869e+01,6.000000000000000000e+01,2.834299999999999997e+01
